x_col,y_col,role
train_18488051105.jpg,edna_krabappel,train
train_18597410880.jpg,edna_krabappel,train
train_18791133910.jpg,edna_krabappel,train
train_18591161750.jpg,edna_krabappel,train
train_19637891025.jpg,edna_krabappel,train
train_18506798495.jpg,edna_krabappel,train
train_18922365640.jpg,edna_krabappel,train
train_19831614055.jpg,edna_krabappel,train
train_18856749775.jpg,edna_krabappel,train
train_19406673215.jpg,edna_krabappel,train
train_18912991945.jpg,edna_krabappel,train
train_18838002385.jpg,edna_krabappel,train
train_18894244555.jpg,edna_krabappel,train
train_19700382325.jpg,edna_krabappel,train
train_18609909140.jpg,edna_krabappel,train
train_19487911905.jpg,edna_krabappel,train
train_19047348240.jpg,edna_krabappel,train
train_19259818660.jpg,edna_krabappel,train
train_18991106070.jpg,edna_krabappel,train
train_18750514565.jpg,edna_krabappel,train
train_18625531965.jpg,edna_krabappel,train
train_18441182630.jpg,edna_krabappel,train
train_19603520810.jpg,edna_krabappel,train
train_19016102590.jpg,edna_krabappel,train
train_18959860420.jpg,edna_krabappel,train
train_18616158270.jpg,edna_krabappel,train
train_18450556325.jpg,edna_krabappel,train
train_19728503410.jpg,edna_krabappel,train
train_19128586930.jpg,edna_krabappel,train
train_19350431045.jpg,edna_krabappel,train
train_19219199315.jpg,edna_krabappel,train
train_19156708015.jpg,edna_krabappel,train
train_19197327360.jpg,edna_krabappel,train
train_19072344760.jpg,edna_krabappel,train
train_18691147830.jpg,edna_krabappel,train
train_18594286315.jpg,edna_krabappel,train
train_19450417125.jpg,edna_krabappel,train
train_18681774135.jpg,edna_krabappel,train
train_19497285600.jpg,edna_krabappel,train
train_19644140155.jpg,edna_krabappel,train
train_19641015590.jpg,edna_krabappel,train
train_18716144350.jpg,edna_krabappel,train
train_19822240360.jpg,edna_krabappel,train
train_19347306480.jpg,edna_krabappel,train
train_19116088670.jpg,edna_krabappel,train
train_19372303000.jpg,edna_krabappel,train
train_19756624495.jpg,edna_krabappel,train
train_19562901465.jpg,edna_krabappel,train
train_18781760215.jpg,edna_krabappel,train
train_19678510370.jpg,edna_krabappel,train
train_18481801975.jpg,edna_krabappel,train
train_19162957145.jpg,edna_krabappel,train
train_19759749060.jpg,edna_krabappel,train
train_18809881300.jpg,edna_krabappel,train
